date_min_t;lon_t;lat_t;min_t;hora
2011 01 03 17 45;-73.693;6.915;211.9;17
2011 01 04 18 15;-74.407;6.915;227.8;18
2011 01 07 12 45;-74.836;5.055;229.9;12
2011 01 07 16 15;-73.264;7.487;205.6;16
2011 01 07 17 45;-74.264;7.058;211.8;17
2011 01 08 18 45;-73.979;7.487;229.5;18
2011 01 09 18 45;-73.693;7.916;224.7;18
2011 01 10 19 45;-74.121;7.058;216.7;19
2011 01 11 06 15;-74.407;6.342;217.7;06
2011 01 15 06 45;-74.836;5.055;221.0;06
2011 01 24 06 45;-74.264;6.915;225.5;06
2011 01 24 15 15;-73.693;8.345;214.8;15
2011 02 07 19 45;-73.836;7.916;219.7;19
2011 02 08 17 45;-73.55;8.059;206.6;17
2011 02 11 19 15;-74.407;7.058;203.9;19
2011 02 13 09 45;-73.55;7.058;220.4;09
2011 02 14 07 15;-73.55;7.201;219.0;07
2011 02 15 07 15;-73.836;7.63;203.0;07
2011 02 15 16 45;-73.407;7.773;213.2;16
2011 02 24 14 45;-73.979;8.059;200.5;14
2011 02 27 14 15;-73.407;7.63;202.0;14
2011 02 28 16 45;-73.979;7.916;200.9;16
2011 03 02 16 15;-74.55;6.485;220.0;16
2011 03 02 14 45;-73.979;7.487;224.2;14
2011 03 02 17 15;-74.121;7.058;221.3;17
2011 03 07 14 45;-73.407;7.63;223.1;14
2011 03 07 17 15;-73.55;8.202;221.4;17
2011 03 08 16 45;-74.121;7.344;226.9;16
2011 03 08 19 45;-73.407;7.916;212.9;19
2011 03 19 19 15;-73.55;7.916;198.8;19
2011 03 21 15 45;-73.836;6.485;197.8;15
2011 03 22 06 15;-74.836;5.77;222.8;06
2011 03 22 19 15;-74.407;6.772;201.7;19
2011 03 22 18 45;-74.407;6.628;212.1;18
2011 03 25 15 15;-74.264;6.056;223.0;15
2011 03 25 16 15;-73.407;7.201;216.4;16
2011 03 28 18 15;-73.693;6.485;195.7;18
2011 03 28 17 45;-73.693;6.485;195.1;17
2011 04 01 17 15;-73.55;8.059;205.5;17
2011 04 02 18 15;-73.693;8.345;215.0;18
2011 04 03 07 15;-74.121;6.915;206.1;07
2011 04 03 17 45;-73.264;7.487;211.5;17
2011 04 10 17 45;-74.121;6.056;218.7;17
2011 04 11 12 15;-74.121;7.201;223.4;12
2011 04 11 15 45;-73.264;7.344;210.7;15
2011 04 12 15 45;-74.121;7.344;215.3;15
2011 04 14 07 15;-73.55;8.059;212.7;07
2011 04 14 16 45;-73.836;7.201;213.0;16
2011 04 15 18 45;-74.55;6.485;191.3;18
2011 04 15 15 45;-74.264;7.058;219.7;15
2011 04 17 19 15;-73.979;6.199;201.5;19
2011 04 17 16 15;-73.407;7.201;212.4;16
2011 04 17 18 15;-74.55;5.627;225.7;18
2011 04 18 12 45;-73.693;7.63;214.2;12
2011 04 18 18 45;-74.121;6.056;220.7;18
2011 04 19 14 15;-73.264;7.63;223.1;14
2011 04 20 14 15;-73.979;6.342;209.3;14
2011 04 20 13 45;-73.55;7.487;225.2;13
2011 04 21 16 15;-73.407;7.487;201.4;16
2011 04 21 16 45;-73.264;7.487;202.3;16
2011 04 21 14 45;-73.979;6.772;229.9;14
2011 04 24 18 15;-73.836;6.485;228.1;18
2011 04 26 18 15;-74.693;5.77;187.4;18
2011 04 29 17 45;-74.264;7.058;202.8;17
2011 04 30 14 15;-73.979;7.487;226.9;14
2011 04 30 07 45;-73.55;7.058;201.1;07
2011 04 30 14 15;-73.979;7.487;226.9;14
2011 04 30 18 45;-74.836;5.484;202.6;18
2011 04 30 18 45;-73.836;7.916;225.9;18
2011 05 01 12 15;-74.407;6.915;227.2;12
2011 05 05 14 45;-73.55;6.772;222.4;14
2011 05 08 06 45;-73.979;7.201;201.3;06
2011 05 09 18 45;-74.407;5.77;202.1;18
2011 05 10 19 45;-74.264;6.485;187.5;19
2011 05 13 19 45;-74.264;6.199;200.8;19
2011 05 16 18 45;-73.836;6.485;213.0;18
2011 05 18 07 45;-73.693;7.773;208.7;07
2011 05 20 06 45;-74.264;6.915;219.3;06
2011 05 20 06 45;-74.264;6.915;219.3;06
2011 05 22 15 15;-73.55;7.058;215.4;15
2011 05 22 18 15;-74.407;6.199;212.3;18
2011 05 24 06 45;-73.836;8.059;211.3;06
2011 05 25 16 45;-73.836;6.485;209.7;16
2011 05 25 15 15;-73.979;6.342;218.9;15
2011 05 25 15 45;-73.55;7.201;225.4;15
2011 05 25 18 15;-74.407;5.77;216.8;18
2011 05 26 08 15;-73.836;7.63;229.8;08
2011 05 26 16 15;-73.407;7.487;198.1;16
2011 05 28 16 45;-73.693;6.915;195.5;16
2011 06 01 15 45;-73.55;7.773;193.2;15
2011 06 04 14 15;-73.979;6.342;227.2;14
2011 06 04 15 45;-73.264;7.63;222.3;15
2011 06 10 15 45;-73.979;6.199;214.2;15
2011 06 10 17 15;-73.407;7.487;210.3;17
2011 06 18 06 15;-73.693;7.344;209.3;06
2011 06 18 14 45;-73.836;8.059;214.6;14
2011 06 19 07 45;-73.836;8.059;195.1;07
2011 06 19 13 45;-73.979;6.199;211.8;13
2011 06 20 15 15;-73.55;8.202;215.0;15
2011 06 20 18 45;-73.55;7.201;229.5;18
2011 06 22 16 45;-73.407;7.201;212.2;16
2011 06 22 15 45;-73.55;8.202;218.8;15
2011 06 23 14 15;-73.264;7.63;208.6;14
2011 06 28 17 45;-73.979;8.202;208.7;17
2011 06 29 06 15;-74.693;5.77;213.7;06
2011 06 29 06 15;-74.693;5.77;213.7;06
2011 06 29 18 45;-73.979;7.201;195.8;18
2011 06 30 18 45;-74.836;5.341;191.9;18
2011 07 02 06 15;-73.979;8.202;197.7;06
2011 07 02 13 15;-73.693;8.202;222.3;13
2011 07 04 10 15;-74.121;6.628;217.5;10
2011 07 04 10 15;-74.121;7.344;225.9;10
2011 07 07 18 15;-73.836;6.485;219.4;18
2011 07 13 15 15;-73.693;6.628;218.0;15
2011 07 18 17 15;-74.407;5.77;200.9;17
2011 07 23 15 15;-73.693;6.628;218.6;15
2011 07 23 18 45;-74.121;6.056;223.0;18
2011 07 25 18 15;-73.407;7.916;209.0;18
2011 07 27 08 15;-73.407;7.63;204.4;08
2011 08 04 14 15;-73.264;7.344;215.2;14
2011 08 09 07 15;-74.121;7.63;221.0;07
2011 08 09 14 45;-73.693;8.345;203.7;14
2011 08 09 16 45;-73.836;7.058;216.3;16
2011 08 12 15 15;-74.407;5.77;228.2;15
2011 08 13 15 45;-73.693;8.345;227.8;15
2011 08 14 14 15;-73.264;7.487;228.2;14
2011 08 16 15 45;-73.407;7.916;227.2;15
2011 08 21 15 45;-73.264;7.63;222.7;15
2011 08 29 06 15;-74.836;5.627;209.6;06
2011 08 29 17 15;-73.55;7.058;203.8;17
2011 09 01 16 45;-73.979;6.199;225.3;16
2011 09 01 17 45;-73.693;8.345;216.4;17
2011 09 04 17 45;-73.55;8.202;213.5;17
2011 09 07 18 15;-74.693;5.627;208.6;18
2011 09 11 15 15;-73.693;8.202;208.3;15
2011 09 12 15 15;-73.979;7.344;223.1;15
2011 09 13 13 45;-73.693;7.773;217.4;13
2011 09 28 15 15;-73.693;6.628;218.8;15
2011 10 01 07 15;-73.836;7.916;223.8;07
2011 10 01 19 45;-73.693;8.202;195.1;19
2011 10 01 14 15;-73.55;8.202;210.2;14
2011 10 08 09 45;-73.264;7.344;215.8;09
2011 10 11 16 15;-74.693;5.055;215.4;16
2011 10 12 11 45;-74.693;5.627;220.8;11
2011 10 12 13 15;-73.407;7.63;226.5;13
2011 10 12 18 45;-74.121;6.199;219.7;18
2011 10 14 18 15;-74.407;5.913;217.3;18
2011 10 17 14 15;-74.121;7.63;219.5;14
2011 10 17 16 15;-73.979;6.772;222.8;16
2011 10 24 13 45;-73.693;7.773;221.3;13
2011 10 25 18 15;-73.979;8.345;209.8;18
2011 10 27 15 15;-73.264;7.487;226.3;15
2011 11 03 15 15;-74.407;7.058;226.1;15
2011 11 06 13 15;-73.836;7.487;203.3;13
2011 11 06 11 45;-73.55;7.63;222.7;11
2011 11 06 16 45;-73.836;6.628;202.7;16
2011 11 07 16 45;-73.55;7.63;197.7;16
2011 11 07 12 45;-73.55;8.202;219.6;12
2011 11 07 17 15;-73.55;7.487;200.4;17
2011 11 10 08 15;-73.979;7.916;203.6;08
2011 11 10 07 15;-73.836;7.773;220.8;07
2011 11 10 17 15;-73.693;8.059;218.2;17
2011 11 11 17 45;-73.693;7.487;224.7;17
2011 11 17 15 15;-73.55;6.772;216.8;15
2011 11 20 06 15;-74.121;7.058;226.8;06
2011 11 21 16 45;-73.693;6.485;228.6;16
2011 11 22 17 45;-74.264;7.058;215.2;17
2011 11 24 08 15;-73.693;7.487;198.8;08
