date_min_t;lon_t;lat_t;min_t;hora
2011 01 07 00 45;-74.121;7.201;216.0;00
2011 01 08 01 45;-74.836;5.77;213.6;01
2011 01 10 01 45;-73.979;7.201;221.5;01
2011 01 15 00 15;-74.836;5.627;206.7;00
2011 01 17 00 15;-73.693;7.487;209.9;00
2011 01 17 05 45;-74.264;6.199;217.5;05
2011 01 24 02 45;-73.693;7.344;218.7;02
2011 01 27 01 45;-74.121;6.199;192.7;01
2011 01 27 23 15;-74.693;5.627;224.2;23
2011 01 27 23 15;-73.407;7.344;225.7;23
2011 01 28 01 45;-73.407;7.058;216.1;01
2011 02 03 23 15;-74.836;5.627;195.6;23
2011 02 09 00 45;-73.264;7.344;226.6;00
2011 02 09 03 45;-73.55;7.201;217.5;03
2011 02 09 20 15;-73.836;8.345;211.8;20
2011 02 10 01 15;-74.836;5.055;207.8;01
2011 02 10 21 45;-74.836;5.627;212.6;21
2011 02 11 03 45;-74.121;6.915;218.5;03
2011 02 11 23 45;-73.264;7.487;202.2;23
2011 02 13 02 45;-73.693;6.485;217.0;02
2011 02 13 05 15;-73.693;7.058;204.5;05
2011 02 14 00 15;-73.979;7.487;205.3;00
2011 02 13 22 45;-74.264;6.342;211.2;22
2011 02 14 04 45;-74.55;5.913;195.3;04
2011 02 15 03 15;-73.693;8.059;219.8;03
2011 02 16 02 15;-73.836;7.487;202.5;02
2011 02 18 05 15;-73.55;7.344;215.7;05
2011 02 17 23 45;-73.55;7.773;220.7;23
2011 02 18 02 45;-74.121;7.344;220.4;02
2011 02 18 21 45;-74.407;6.342;226.6;21
2011 02 19 01 45;-73.693;7.487;225.2;01
2011 02 19 02 15;-73.979;6.628;229.8;02
2011 02 19 04 15;-73.55;6.915;224.5;04
2011 02 26 02 45;-74.55;6.628;218.4;02
2011 02 27 03 45;-74.55;5.77;195.3;03
2011 02 27 02 15;-74.407;6.199;202.2;02
2011 03 01 20 15;-73.55;7.487;214.3;20
2011 03 02 21 45;-73.264;7.487;222.2;21
2011 03 06 03 15;-73.836;6.915;219.7;03
2011 03 07 01 15;-74.407;6.199;205.8;01
2011 03 08 03 15;-73.55;7.344;216.2;03
2011 03 08 03 45;-73.979;7.201;228.8;03
2011 03 09 01 15;-73.693;6.915;216.9;01
2011 03 11 22 45;-74.264;6.056;214.8;22
2011 03 21 02 15;-74.836;5.913;201.1;02
2011 03 22 23 45;-74.836;5.341;215.6;23
2011 03 23 20 45;-73.407;7.916;215.2;20
2011 03 26 22 15;-74.264;6.056;193.2;22
2011 03 28 21 45;-74.55;6.056;189.7;21
2011 03 29 23 45;-73.836;6.485;203.7;23
2011 03 31 01 45;-74.264;6.628;194.9;01
2011 04 01 02 45;-74.121;7.344;203.6;02
2011 04 02 02 45;-73.979;7.201;200.6;02
2011 04 03 04 45;-74.693;5.913;199.3;04
2011 04 03 01 45;-73.55;7.916;199.2;01
2011 04 03 00 15;-74.264;6.628;211.0;00
2011 04 03 01 45;-74.121;6.199;208.4;01
2011 04 03 21 15;-74.121;7.058;211.3;21
2011 04 03 22 45;-74.121;6.342;218.5;22
2011 04 04 01 15;-74.836;5.341;212.7;01
2011 04 04 02 45;-73.836;7.344;203.7;02
2011 04 05 04 45;-73.979;7.201;193.0;04
2011 04 05 22 15;-74.836;5.913;189.6;22
2011 04 07 02 15;-74.264;6.485;193.7;02
2011 04 06 23 45;-73.55;7.916;218.7;23
2011 04 07 01 15;-73.979;7.344;204.2;01
2011 04 08 23 45;-73.55;7.773;204.5;23
2011 04 09 02 45;-73.979;7.487;196.4;02
2011 04 09 01 45;-73.836;7.63;200.3;01
2011 04 09 22 45;-74.693;5.627;197.0;22
2011 04 10 04 15;-73.407;7.487;193.1;04
2011 04 10 04 15;-73.407;7.487;193.1;04
2011 04 10 01 45;-74.121;6.342;197.6;01
2011 04 12 01 45;-74.264;6.056;207.5;01
2011 04 12 21 15;-73.979;6.199;200.5;21
2011 04 13 20 15;-74.55;6.342;207.5;20
2011 04 14 02 45;-73.979;6.628;211.3;02
2011 04 15 01 15;-73.979;7.63;215.4;01
2011 04 18 01 45;-74.693;5.77;206.9;01
2011 04 18 20 15;-74.693;5.055;197.7;20
2011 04 19 03 45;-73.693;7.487;202.0;03
2011 04 20 04 15;-73.693;7.344;198.5;04
2011 04 22 01 15;-74.836;5.77;214.5;01
2011 04 23 05 15;-73.836;8.345;214.7;05
2011 04 23 20 15;-73.693;6.915;196.2;20
2011 04 24 02 15;-74.121;7.201;200.3;02
2011 04 24 03 15;-74.121;7.344;203.3;03
2011 04 24 23 15;-74.121;6.342;200.2;23
2011 04 24 21 15;-74.55;6.772;208.9;21
2011 04 24 22 45;-74.693;5.198;214.0;22
2011 04 25 01 15;-73.693;6.772;199.6;01
2011 04 27 03 15;-73.979;7.916;199.0;03
2011 04 27 22 45;-73.836;7.201;186.4;22
2011 05 02 02 45;-73.836;7.058;190.2;02
2011 04 30 22 15;-74.55;6.199;216.8;22
2011 05 02 04 45;-73.55;7.916;191.7;04
2011 05 05 22 15;-73.979;6.485;196.1;22
2011 05 08 02 15;-73.836;6.485;225.2;02
2011 05 09 23 15;-74.407;6.056;189.2;23
2011 05 13 22 15;-74.693;5.627;187.8;22
2011 05 15 22 15;-74.55;5.77;195.3;22
2011 05 16 21 15;-74.121;6.056;192.4;21
2011 05 20 03 45;-74.121;6.628;228.0;03
2011 05 20 03 45;-74.121;6.628;228.0;03
2011 05 22 04 15;-73.836;7.773;197.0;04
2011 05 22 03 45;-73.693;7.916;197.7;03
2011 05 23 03 45;-73.979;6.772;205.6;03
2011 05 23 01 45;-73.55;7.201;212.2;01
2011 05 25 00 45;-73.979;6.772;193.9;00
2011 05 26 05 45;-73.836;8.059;203.8;05
2011 05 26 23 45;-74.264;6.915;192.5;23
2011 05 29 21 45;-73.407;7.773;223.3;21
2011 05 30 00 45;-73.55;7.487;198.2;00
2011 05 31 03 45;-73.836;7.344;189.0;03
2011 05 31 02 45;-73.836;6.772;192.8;02
2011 05 31 23 45;-74.121;7.058;189.0;23
2011 05 31 23 15;-74.121;7.058;191.6;23
2011 06 06 03 15;-74.55;6.628;203.3;03
2011 06 06 02 15;-74.264;6.485;197.9;02
2011 06 06 00 15;-74.121;6.915;203.6;00
2011 06 07 05 15;-73.693;7.058;193.6;05
2011 06 06 22 15;-74.693;5.484;198.5;22
2011 06 10 00 45;-74.55;5.913;212.7;00
2011 06 11 01 15;-74.407;6.772;192.6;01
2011 06 11 23 15;-74.121;6.628;192.7;23
2011 06 13 00 15;-73.693;6.485;204.0;00
2011 06 13 20 15;-74.55;6.628;186.9;20
2011 06 15 05 45;-73.979;7.916;204.8;05
2011 06 18 01 45;-74.836;5.484;214.5;01
2011 06 19 00 45;-73.979;6.199;228.5;00
2011 06 19 04 15;-73.693;7.058;205.3;04
2011 06 20 20 45;-73.836;8.202;207.4;20
2011 06 20 21 45;-74.121;7.058;211.0;21
2011 06 25 02 45;-73.55;7.487;198.3;02
2011 06 30 02 15;-73.836;8.202;193.0;02
2011 06 29 23 15;-73.693;7.344;191.2;23
2011 07 01 00 15;-73.693;7.058;188.4;00
2011 07 02 21 45;-74.407;6.199;197.5;21
2011 07 03 01 15;-73.693;7.344;227.3;01
2011 07 04 05 15;-74.55;6.056;201.2;05
2011 07 04 05 45;-74.55;6.056;201.1;05
2011 07 05 23 15;-74.693;5.77;199.4;23
2011 07 07 02 45;-73.693;8.202;196.1;02
2011 07 07 01 45;-73.55;7.487;216.6;01
2011 07 10 01 15;-73.836;7.058;190.5;01
2011 07 10 22 45;-74.264;6.915;193.0;22
2011 07 12 01 15;-74.121;7.63;192.5;01
2011 07 15 03 45;-73.693;7.773;192.0;03
2011 07 19 01 45;-73.693;6.772;209.0;01
2011 07 19 01 45;-73.693;6.772;209.0;01
2011 07 20 00 45;-74.55;6.628;196.9;00
2011 07 19 23 15;-74.407;6.342;215.9;23
